NO,CATEGORY - ENGLISH,CATEGORY - ARABIC,PRODUCT NAME - ENGLISH,PRODUCT NAME - ARABIC,DESCRIPTION - ENGLISH,DESCRIPTION - ARABIC,PRICE,PREPARATION TIME,ADD-ONS ENGLISH,ADD-ONS ARABIC
48,Flower Bouquet,باقة زهور,Bouquet with long lilly mix-44,باقة زنبق طويل مشكل-44,Graceful long-stemmed lilies mixed with complementary blossoms.,زنبق طويل وأنيق ممزوج مع زهور مكملة له.,240,60,Greeting Card,بطاقة تهنئة
49,Flower Bouquet,باقة زهور,Bouquet with mix flower-80,باقة زهور مشكلة-80,"A rich mix of seasonal flowers, perfect for gifting.",مزيج غني من الزهور الموسمية، مثالي للإهداء.,320,60,Greeting Card,بطاقة تهنئة
50,Flower Bouquet,باقة زهور,Bouquet with mix pink flowers-59,باقة زهور وردية مشكلة-59,A soft and lovely collection of various pink-toned flowers.,تشكيلة ناعمة وجميلة من زهور مختلفة بدرجات اللون الوردي.,450,60,Greeting Card,بطاقة تهنئة
51,Flower Bouquet,باقة زهور,Bouquet with pink lilly-93,باقة زنبق وردي-93,A beautiful bouquet showcasing the vibrant beauty of pink lilies.,باقة جميلة تبرز الجمال الحيوي للزنبق الوردي.,180,60,Greeting Card,بطاقة تهنئة
52,Flower Bouquet,باقة زهور,Bouquet with pink lilly with nice wrapp-45,باقة زنبق وردي بتغليف مميز-45,Pink lilies enhanced by elegant and high-quality wrapping.,زنبق وردي معزز بتغليف أنيق وعالي الجودة.,320,60,Greeting Card,بطاقة تهنئة
53,Flower Bouquet,باقة زهور,Bouquet with pink rose-44,باقة ورد وردي-44,A simple and elegant bunch of fresh pink roses.,باقة بسيطة وأنيقة من الورد الوردي الطازج.,380,60,Greeting Card,بطاقة تهنئة
54,Flower Bouquet,باقة زهور,Bouquet with pink rose-91,باقة ورد وردي-91,A lush arrangement of premium pink roses for a romantic gesture.,تنسيق غني من الورد الوردي الفاخر لفتة رومانسية.,240,60,Greeting Card,بطاقة تهنئة
55,Flower Bouquet,باقة زهور,Bouqut with tulip white mix-68,باقة توليب أبيض مشكل-68,Fresh white tulips mixed with delicate seasonal greenery.,توليب أبيض طازج ممزوج بلمسات خضراء موسمية رقيقة.,280,60,Greeting Card,بطاقة تهنئة
56,Flower Bouquet,باقة زهور,Bouqut with tulu mix-82,باقة توليب مشكل-82,A vibrant collection of multi-colored tulips for a cheerful look.,تشكيلة حيوية من التوليب متعدد الألوان لإطلالة مبهجة.,270,60,Greeting Card,بطاقة تهنئة
57,Flower Bouquet,باقة زهور,Bouqut with white and fusie rose -43,باقة ورد أبيض وفوشيا-43,A sophisticated contrast of white and deep fuchsia roses.,تباين راقٍ بين الورد الأبيض وورد الفوشيا الغامق.,280,60,Greeting Card,بطاقة تهنئة
58,Flower Bouquet,باقة زهور,Bouqut with white lilly-90,باقة زنبق أبيض-90,Elegant and pristine white lilies arranged for a classic aesthetic.,زنبق أبيض أنيق ونقي منسق بأسلوب كلاسيكي.,250,60,Greeting Card,بطاقة تهنئة
59,Flower Bouquet,باقة زهور,Flower bouquet anthurium and pinkish bouquet,باقة زهور أنثوريوم ووردي,Exotic anthuriums paired with soft pink flowers for a unique style.,زهور الأنثوريوم الغريبة ممزوجة بزهور وردية ناعمة.,390,60,Greeting Card,بطاقة تهنئة
60,Flower Bouquet,باقة زهور,Flower bouquet fuchia themed -41,باقة زهور بطابع الفوشيا-41,A stunning arrangement centered around bold fuchsia-toned flowers.,تنسيق مذهل يتركز حول زهور بدرجات الفوشيا الجريئة.,190,60,Greeting Card,بطاقة تهنئة
61,Flower Bouquet,باقة زهور,Flower bouquet mixed pinkish premium bouquet,باقة زهور وردية فاخرة,A premium blend of various pink blossoms for a romantic appeal.,مزيج فاخر من زهور وردية متنوعة لطابع رومانسي.,680,60,Greeting Card,بطاقة تهنئة
62,Flower Bouquet,باقة زهور,Flower bouquet white color anthurium bouquet,باقة زهور أنثوريوم أبيض,"Clean, white anthurium flowers arranged in a modern, artistic way.",زهور أنثوريوم بيضاء نقية منسقة بأسلوب فني عصري.,370,60,Greeting Card,بطاقة تهنئة
63,Flower Bouquet,باقة زهور,Fuchia rose special hand bouquet,باقة ورد فوشيا مميزة,"A special selection of vibrant fuchsia roses, hand-tied with care.",تشكيلة خاصة من ورد الفوشيا الزاهي، منسقة يدوياً بعناية.,230,60,Greeting Card,بطاقة تهنئة
64,Flower Bouquet,باقة زهور,Gerbera and anthurium mixed flower bouquet,باقة جربيرا وأنثوريوم مشكلة,A creative mix of bright gerberas and exotic anthurium blooms.,مزيج إبداعي من زهور الجربيرا الزاهية وأنثوريوم الغريبة.,470,60,Greeting Card,بطاقة تهنئة
65,Flower Bouquet,باقة زهور,Hand bouquet stylish only whitish bouquet,باقة يد بيضاء أنيقة,"A chic, all-white arrangement that exudes style and simplicity.",تنسيق أنيق باللون الأبيض بالكامل يفيض بالبساطة.,370,60,Greeting Card,بطاقة تهنئة
66,Flower Bouquet,باقة زهور,Hand bouquet 3 lilly white bouquet,باقة يد 3 زنبق أبيض,A minimalist arrangement featuring three graceful white lilies.,تنسيق بسيط يضم ثلاث زهرات زنبق أبيض أنيقة.,70,60,Greeting Card,بطاقة تهنئة
67,Flower Bouquet,باقة زهور,Hand bouquet colorful wow flowers -33,باقة يد زهور ملونة مذهلة-33,An explosion of colorful seasonal flowers designed to impress.,انفجار من الزهور الموسمية الملونة المصممة للإبهار.,290,60,Greeting Card,بطاقة تهنئة
68,Flower Bouquet,باقة زهور,Hand bouquet fuvhia 10 roses bouquet,باقة يد 10 وردات فوشيا,"A perfectly sized bouquet of ten rich, fuchsia-colored roses.",باقة بحجم مثالي تضم عشر وردات غنية بلون الفوشيا.,140,60,Greeting Card,بطاقة تهنئة
69,Flower Bouquet,باقة زهور,Hand bouquet gerbera and mix flower bouquet,باقة يد جربيرا وزهور مشكلة,A charming mix featuring cheerful gerberas and filler flowers.,مزيج ساحر يضم زهور الجربيرا المبهجة مع زهور مكملة.,140,60,Greeting Card,بطاقة تهنئة
70,Flower Bouquet,باقة زهور,Hand bouquet heavy party premium mixed bouquet,باقة يد فاخرة للمناسبات,"A grand, premium arrangement perfect for celebrations and parties.",تنسيق فاخر وضخم مثالي للاحتفالات والمناسبات.,1800,60,Greeting Card,بطاقة تهنئة
71,Flower Bouquet,باقة زهور,Hand bouquet luxury feeling fresh mix flowers bouquet,باقة يد فاخرة زهور مشكلة,A luxurious mix of fresh flowers with a high-end presentation.,مزيج فاخر من الزهور الطازجة مع عرض رفيع المستوى.,1600,60,Greeting Card,بطاقة تهنئة
72,Flower Bouquet,باقة زهور,Hand bouquet orange rose 10 pices,باقة يد 10 وردات برتقالية,"Ten vibrant orange roses, symbolizing energy and enthusiasm.",عشر وردات برتقالية زاهية، ترمز للطاقة والحماس.,140,60,Greeting Card,بطاقة تهنئة
73,Flower Bouquet,باقة زهور,Hand bouquet orange special flowers standing bouquet,باقة يد زهور برتقالية خاصة,A vibrant standing bouquet featuring unique orange flowers.,باقة قائمة مفعمة بالحيوية تضم زهوراً برتقالية فريدة.,220,60,Greeting Card,بطاقة تهنئة
74,Flower Bouquet,باقة زهور,Hand bouquet peach and white stunning,باقة يد خوخي وأبيض مذهلة,A stunning combination of soft peach and white blooms.,مزيج مذهل من الزهور ذات اللون الخوخي الناعم والأبيض.,220,60,Greeting Card,بطاقة تهنئة
75,Flower Bouquet,باقة زهور,Hand bouquet peach themed -36,باقة يد بطابع خوخي-36,A beautifully curated arrangement with a warm peach theme.,تنسيق منسق بجمال مع طابع باللون الخوخي الدافئ.,170,60,Greeting Card,بطاقة تهنئة
76,Flower Bouquet,باقة زهور,Hand bouquet pink gerbera bouquet,باقة يد جربيرا وردية,A cheerful bouquet of pink gerberas for a bright display.,باقة مبهجة من زهور الجربيرا الوردية لعرض مشرق.,140,60,Greeting Card,بطاقة تهنئة
77,Flower Bouquet,باقة زهور,Hand bouquet rose and mixed flower standing bouquet,باقة يد ورد وزهور مشكلة,A classic stand-up bouquet of roses and assorted blooms.,باقة قائمة كلاسيكية من الورد والزهور المتنوعة.,370,60,Greeting Card,بطاقة تهنئة
78,Flower Bouquet,باقة زهور,Hand bouquet special green and white mix special flower standing bouquet,باقة يد زهور بيضاء وخضراء خاصة,A unique mix of white and green flowers in a standing style.,مزيج فريد من الزهور البيضاء والخضراء بتصميم قائم.,390,60,Greeting Card,بطاقة تهنئة
79,Flower Bouquet,باقة زهور,Hand bouquet special tulip and hydrangea flowers,باقة يد توليب وهيدرانجيا خاصة,A premium mix of delicate tulips and lush hydrangeas.,مزيج فاخر من التوليب الرقيق وزهور الهيدرانجيا الغنية.,420,60,Greeting Card,بطاقة تهنئة
80,Flower Bouquet,باقة زهور,Hand bouquet special wow flowers standing bouquet,باقة يد زهور مبهرة خاصة,A standout arrangement designed to impress with its beauty.,تنسيق استثنائي مصمم ليبهج بجماله.,590,60,Greeting Card,بطاقة تهنئة
81,Flower Bouquet,باقة زهور,Hand bouquet tulip 30pieces,باقة يد 30 وردة توليب,"A grand bouquet featuring thirty fresh, high-quality tulips.",باقة ضخمة تضم ثلاثين وردة توليب طازجة وعالية الجودة.,340,60,Greeting Card,بطاقة تهنئة
82,Flower Bouquet,باقة زهور,Hand bouquet very special multi fresh flowers,باقة يد زهور طازجة مميزة جداً,"An exceptional, multi-floral arrangement of fresh, colorful blooms.",تنسيق استثنائي متعدد الزهور من زهور طازجة وملونة.,850,60,Greeting Card,بطاقة تهنئة
83,Flower Bouquet,باقة زهور,Hand bouquet white gerbera and mixed flowers stylish bouquet,باقة يد جربيرا بيضاء وزهور مشكلة,A stylish mix of white gerberas and complementary seasonal flowers.,مزيج أنيق من الجربيرا البيضاء وزهور موسمية مكملة.,370,60,Greeting Card,بطاقة تهنئة
84,Flower Bouquet,باقة زهور,Hand bouquet white hydrangea premium standing bouquet,باقة يد هيدرانجيا بيضاء فاخرة,"A premium, elegant standing bouquet featuring white hydrangeas.",باقة قائمة أنيقة وفاخرة تتميز بزهور الهيدرانجيا البيضاء.,800,60,Greeting Card,بطاقة تهنئة
85,Flower Bouquet,باقة زهور,Hand bouquet white lilly bouquet,باقة يد زنبق أبيض,A clean and graceful bouquet of fresh white lilies.,باقة نقية وأنيقة من زهور الزنبق الأبيض الطازجة.,290,60,Greeting Card,بطاقة تهنئة
86,Flower Bouquet,باقة زهور,Hand bouquet white roses 10 pices with black,باقة يد 10 وردات بيضاء بتغليف أسود,Contrast of ten white roses wrapped in sleek black paper.,تباين رائع لعشر وردات بيضاء مغلفة بورق أسود أنيق.,140,60,Greeting Card,بطاقة تهنئة
87,Flower Bouquet,باقة زهور,Hand bouquet with mix tulip-23,باقة يد توليب مشكل-23,"A vibrant, multi-colored mix of premium tulip stems.",مزيج حيوي ومتعدد الألوان من سيقان التوليب الفاخرة.,520,60,Greeting Card,بطاقة تهنئة
88,Flower Bouquet,باقة زهور,Hand bouquet with multi premium flowers -31,باقة يد زهور فاخرة متعددة-31,"A lush, premium collection of diverse, high-quality fresh flowers.",تشكيلة فاخرة وغنية من زهور طازجة متنوعة وعالية الجودة.,290,60,Greeting Card,بطاقة تهنئة
89,Flower Bouquet,باقة زهور,Hand bouquet with purple and pinkish,باقة يد بنفسجي ووردي,"A romantic, elegant mix of purple and pink-toned blossoms.",مزيج رومانسي وأنيق من الزهور بدرجات البنفسجي والوردي.,360,60,Greeting Card,بطاقة تهنئة
90,Flower Bouquet,باقة زهور,Hand bouquet with special lilly-21,باقة يد زنبق خاص-21,A uniquely styled bouquet featuring premium special lilies.,باقة بتصميم فريد يضم زهور زنبق خاصة وفاخرة.,200,60,Greeting Card,بطاقة تهنئة
91,Flower Bouquet,باقة زهور,Hand bouquet with stable flowers-21,باقة يد زهور ثابتة-21,A balanced and elegant arrangement designed for lasting beauty.,تنسيق متوازن وأنيق مصمم لجمال يدوم طويلاً.,330,60,Greeting Card,بطاقة تهنئة
92,Flower Bouquet,باقة زهور,Hand bouquet wow mixed flowers-33,باقة يد زهور مشكلة مبهرة-33,"A stunning collection of mixed flowers that create a ""wow"" effect.",تشكيلة مذهلة من الزهور المشكلة التي تخلق تأثيراً رائعاً.,260,60,Greeting Card,بطاقة تهنئة
93,Flower Bouquet,باقة زهور,Hand bouquet yellow themed flowers-35,باقة يد بطابع أصفر-35,A bright and cheerful arrangement featuring yellow-themed blooms.,تنسيق مشرق ومبهج يضم زهوراً بطابع اللون الأصفر.,250,60,Greeting Card,بطاقة تهنئة
94,Flower Bouquet,باقة زهور,Hand bouquet yellow wow bouquet,باقة يد صفراء مبهرة,A vibrant yellow bouquet that brings warmth and happiness.,باقة صفراء حيوية تجلب الدفء والسعادة.,370,60,Greeting Card,بطاقة تهنئة
95,Flower Bouquet,باقة زهور,Hand flower bouquet lilly premium bouquet,باقة زهور زنبق فاخرة,Premium quality white lilies presented in a sophisticated wrap.,زنبق أبيض بجودة فاخرة مقدم في تغليف راقٍ.,200,60,Greeting Card,بطاقة تهنئة
96,Flower Bouquet,باقة زهور,Hand flower bouquet multi flowers-40,باقة زهور متعددة-40,A rich mix of multi-colored flowers for a vibrant display.,مزيج غني من الزهور متعددة الألوان لعرض حيوي.,270,60,Greeting Card,بطاقة تهنئة
97,Flower Bouquet,باقة زهور,Hand flower pink lilly 3 pic bouquet,باقة يد زنبق وردي 3 قطع,A delicate arrangement featuring three beautiful pink lilies.,تنسيق رقيق يضم ثلاث زهرات زنبق وردي جميلة.,70,60,Greeting Card,بطاقة تهنئة
98,Flower Bouquet,باقة زهور,Hand bouquet white stylish mixed flower bouquet,باقة يد زهور مشكلة بيضاء أنيقة,A stylish mix of white flowers perfect for elegant gifting.,مزيج أنيق من الزهور البيضاء مثالي للإهداء الراقي.,370,60,Greeting Card,بطاقة تهنئة
99,Flower Bouquet,باقة زهور,Lilly white bunch premium,باقة زنبق أبيض فاخرة,"A premium, minimalist bunch of pure white lilies.",باقة فاخرة وبسيطة من زهور الزنبق الأبيض النقي.,200,60,Greeting Card,بطاقة تهنئة
100,Flower Bouquet,باقة زهور,Mix flower nice bouquet,باقة زهور مشكلة جميلة,A lovely mix of fresh flowers curated for any occasion.,مزيج جميل من الزهور الطازجة المنسقة لكل المناسبات.,350,60,Greeting Card,بطاقة تهنئة
101,Flower Bouquet,باقة زهور,Mixed flower bouquet 032,باقة زهور مشكلة 032,A classic mixed bouquet offering a variety of fresh blossoms.,باقة مشكلة كلاسيكية تقدم مجموعة متنوعة من الزهور الطازجة.,330,60,Greeting Card,بطاقة تهنئة
102,Flower Bouquet,باقة زهور,Mixed flower bouquet very special hand bouquet,باقة يد زهور مشكلة مميزة جداً,"A very special, hand-crafted bouquet of premium mixed flowers.",باقة مميزة جداً ومصنوعة يدوياً من زهور مشكلة فاخرة.,480,60,Greeting Card,بطاقة تهنئة
103,Flower Bouquet,باقة زهور,Mixed hydrangeas and special flowers mixed heavy premium bouquet,باقة هيدرانجيا وزهور خاصة فاخرة,"A heavy, premium bouquet featuring lush hydrangeas and special blooms.",باقة فاخرة وغنية تضم زهور الهيدرانجيا الكثيفة وزهوراً خاصة.,1400,60,Greeting Card,بطاقة تهنئة
104,Flower Bouquet,باقة زهور,Mixed special flowers hand bouquet,باقة يد زهور خاصة مشكلة,An exquisite hand bouquet featuring a curated mix of special flowers.,باقة يد رائعة تضم مزيجاً منتقى من الزهور الخاصة.,990,60,Greeting Card,بطاقة تهنئة
105,Flower Bouquet,باقة زهور,Only pink nice standing bouquet,باقة قائمة وردية جميلة,"A beautiful, all-pink standing bouquet designed for elegance.",باقة قائمة جميلة باللون الوردي بالكامل مصممة للأناقة.,330,60,Greeting Card,بطاقة تهنئة
